DeviceName,DeviceID,TowerCategoryId,TowerDeviceType,EmersonDeviceTypeId,CandidateSignalId,CandidateSignalName,MappingConfidence,TemplateVariant,Reason,NeedRealDataConfirm
TempHumidity,51051241830004,418,基站机房环境,1004,510000211,I2C温度,HIGH,,设备名直指温湿度；模板中为温度，单位℃,NO
TempHumidity,51051241830004,418,基站机房环境,1004,510000221,I2C湿度,HIGH,,设备名直指温湿度；模板中为湿度，单位%RH,NO
Smoke,51051241820004,418,基站机房环境,1004,510000250,烟感,HIGH,,设备名 Smoke；模板烟感 0=无告警 1=有告警,NO
WaterLeak,51051241840004,418,基站机房环境,1004,510000280,水浸状态,HIGH,,设备名 WaterLeak；模板水浸 0=无告警 1=有告警,NO
Battery1,51051240700002,407,蓄电池组,1101,510000091,电池1总电压,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,设备名 Battery1；模板为电池总电压，需确认现场返回,YES
Battery1,51051240700002,407,蓄电池组,1101,510000101,电池1中点电压,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,需确认现场是否有中点电压,YES
Battery1,51051240700002,407,蓄电池组,1101,510000111,电池2总电压,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,设备名 Battery1；模板为第二组电池总电压，需确认现场返回,YES
Battery1,51051240700002,407,蓄电池组,1101,510000121,电池2中点电压,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,需确认现场是否有中点电压,YES
Battery1,51051240700002,407,蓄电池组,1101,510000581,总电压1前半组,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,派生表达式 510000091-510000101，需确认派生策略,YES
Battery1,51051240700002,407,蓄电池组,1101,510000582,总电压2前半组,MEDIUM,NO_MIDPOINT/WITH_MIDPOINT,派生表达式 510000111-510000121，需确认派生策略,YES
Battery1,51051240700002,407,蓄电池组,1101,510000583,总电压1中点不平衡告警,PENDING_REAL_DATA,WITH_MIDPOINT_ONLY,仅有中点版本存在，派生告警,YES
Battery1,51051240700002,407,蓄电池组,1101,510000584,总电压2中点不平衡告警,PENDING_REAL_DATA,WITH_MIDPOINT_ONLY,仅有中点版本存在，派生告警,YES
Power,51051240600004,406,开关电源,401,510000550,市电A路,PENDING_REAL_DATA,,Power未明确绑定IO模板；市电A路可作为候选,YES
Power,51051240600004,406,开关电源,401,510000560,市电B路,PENDING_REAL_DATA,,Power未明确绑定IO模板；市电B路可作为候选,YES
CommState,51051241900002,419,IPLU1501非铁塔类型,9999,-3,设备通讯状态,PENDING_REAL_DATA,,CommState可候选关联模板系统通讯状态,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000430,AI-DI1,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000440,AI-DI2,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000450,AI-DI3,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000460,AI-DI4,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000470,AI-DI5,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000480,AI-DI6,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000490,AI-DI7,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
UNKNOWN_FIELD_WIRING,现场接线未确认,418,基站机房环境,1004,510000500,AI-DI8,PENDING_REAL_DATA,,AI-DI通道需要现场接线或真实上报确认,YES
